customer_id,gender,age_group,region,product_category,purchase_channel,platform,customer_rating,review_text,sentiment,response_time_hours,issue_resolved,complaint_registered
1,male,60+,north,automobile,online,flipkart,1,very disappointed with the quality.,negative,46,yes,yes
2,other,46-60,central,books,online,swiggy instamart,5,fast delivery and great packaging.,positive,5,yes,no
3,female,36-45,east,sports,online,facebook marketplace,1,very disappointed with the quality.,negative,38,yes,yes
4,female,18-25,central,groceries,online,zepto,2,product stopped working after few days.,negative,16,yes,yes
5,female,18-25,east,electronics,online,croma,3,neutral about the quality.,neutral,15,yes,no
6,other,26-35,central,sports,online,facebook marketplace,5,"amazing experience, highly recommend!",positive,10,yes,no
7,male,36-45,south,travel,online,amazon,4,great value for money.,positive,38,yes,no
8,other,60+,east,fashion,online,swiggy instamart,5,excellent product! exceeded expectations.,positive,53,no,no
9,male,18-25,south,home & kitchen,online,shopclues,3,"product is okay, nothing special.",neutral,7,yes,no
10,male,36-45,east,beauty,online,croma,5,great value for money.,positive,56,no,no
11,female,26-35,south,beauty,online,zepto,2,not worth the price.,negative,69,no,yes
12,other,18-25,east,groceries,online,swiggy instamart,1,very disappointed with the quality.,negative,70,no,yes
13,other,46-60,central,fashion,online,facebook marketplace,5,"amazing experience, highly recommend!",positive,48,no,no
14,other,46-60,north,beauty,online,tata cliq,4,"amazing experience, highly recommend!",positive,55,no,no
15,other,60+,west,beauty,online,snapdeal,1,customer service was unhelpful.,negative,4,yes,yes
16,other,36-45,central,fashion,online,paytm mall,2,product stopped working after few days.,negative,56,no,yes
17,female,26-35,north,sports,online,tata cliq,1,late delivery and poor packaging.,negative,44,yes,yes
18,male,60+,west,books,online,ajio,3,neutral about the quality.,neutral,32,yes,no
19,other,26-35,east,electronics,online,myntra,4,excellent product! exceeded expectations.,positive,61,no,no
20,female,46-60,west,electronics,online,facebook marketplace,1,late delivery and poor packaging.,negative,11,yes,yes
21,female,60+,south,sports,online,nykaa,5,"amazing experience, highly recommend!",positive,51,no,no
22,female,18-25,south,books,online,reliance digital,5,excellent product! exceeded expectations.,positive,31,yes,no
